,                      :суб'єкт-висування ,                   :фіо , :номер-у-списку , :округ , :фракція , :на-два-кластери-за-голосуваннями , :на-три-кластерів-за-голосуваннями , :на-п'ять-кластерів-за-голосуваннями , :на-дев'ять-кластерів-за-голосуваннями ,
,                    Блок Петра Порошенка ,      Домбровський О.Г. ,              11 ,     11 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,         Порошенко О.П. ,              12 ,     12 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,           Юрчишин П.В. ,              13 ,     13 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,         Мельничук І.І. ,              14 ,     14 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Спориш І.Д. ,              15 ,     15 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,           Македон Ю.М. ,              16 ,     16 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,             Кучер М.І. ,              17 ,     17 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,            Демчак Р.Є. ,              18 ,     18 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,           Курячий М.П. ,              25 ,     25 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,           Ричкова Т.Б. ,              27 ,     27 ,      БПП ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,         Куліченко І.І. ,              28 ,     28 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,              Усов К.Г. ,              33 ,     33 ,      БПП ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                           Самовисування ,        Нестеренко В.Г. ,              38 ,     38 ,      БПП ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,            Єфімов М.В. ,              48 ,     48 ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      8 ,
,                           Самовисування ,            Недава О.А. ,              53 ,     53 ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,          Лубінець Д.В. ,              60 ,     60 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                           Самовисування ,            Ревега О.В. ,              63 ,     63 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,         Арешонков В.Ю. ,              64 ,     64 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Горват Р.І. ,              68 ,     68 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,           Сабашук П.П. ,              74 ,     74 ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      3 ,
,                    Блок Петра Порошенка ,         Артюшенко І.А. ,              75 ,     75 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Фролов М.О. ,              76 ,     76 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,        Валентиров С.В. ,              81 ,     81 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                    Блок Петра Порошенка ,       Кривохатько В.В. ,              82 ,     82 ,      БПП ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,          Довбенко М.В. ,              84 ,     84 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,           Соловей Ю.І. ,              89 ,     89 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
